algorithm,flowers,mission_time,energy,distance,battery_cycles
Greedy,10,59.433736897838784,0.08462093376851396,6.666868448919396,1
2-Opt,10,59.314330993741265,0.08462093376851396,6.607165496870633,1
MST,10,59.433736897838784,0.08462093376851396,6.666868448919396,1
Greedy,10,62.438009639357354,0.08462093376851396,8.169004819678682,1
2-Opt,10,61.46259514417831,0.08462093376851396,7.681297572089154,1
MST,10,62.438009639357354,0.08462093376851396,8.169004819678682,1
Greedy,10,60.293990757534395,0.08462093376851396,7.096995378767199,1
2-Opt,10,59.908814437058815,0.08462093376851396,6.904407218529408,1
MST,10,62.37982901955373,0.08462093376851396,8.139914509776867,1
Greedy,10,60.210361629257434,0.08462093376851396,7.055180814628714,1
2-Opt,10,59.136331070268135,0.08462093376851396,6.518165535134067,1
MST,10,62.6943927648487,0.08462093376851396,8.297196382424351,1
Greedy,10,56.04094928848495,0.08462093376851396,4.970474644242476,1
2-Opt,10,56.04094928848495,0.08462093376851396,4.970474644242476,1
MST,10,56.04094928848495,0.08462093376851396,4.970474644242476,1
Greedy,10,61.68511972517875,0.08462093376851396,7.792559862589373,1
2-Opt,10,61.06850814002319,0.08462093376851396,7.4842540700116,1
MST,10,62.31638249741651,0.08462093376851396,8.108191248708257,1
Greedy,10,60.52097348658231,0.08462093376851396,7.21048674329116,1
2-Opt,10,59.86926449412847,0.08462093376851396,6.88463224706423,1
MST,10,62.054422013579256,0.08462093376851396,7.977211006789629,1
Greedy,10,60.16895521916735,0.08462093376851396,7.034477609583674,1
2-Opt,10,59.89778960508051,0.08462093376851396,6.8988948025402586,1
MST,10,60.16895521916735,0.08462093376851396,7.034477609583674,1
Greedy,10,59.07840649363397,0.08462093376851396,6.489203246816985,1
2-Opt,10,58.928841790091944,0.08462093376851396,6.414420895045975,1
MST,10,62.27668248484298,0.08462093376851396,8.088341242421487,1
Greedy,10,58.63521551225749,0.08462093376851396,6.267607756128743,1
2-Opt,10,58.621203070179206,0.08462093376851396,6.2606015350896005,1
MST,10,61.83781925049721,0.08462093376851396,7.868909625248603,1
Greedy,50,231.51206555215322,0.40390648110525285,12.706032776076599,1
2-Opt,50,230.28322775451525,0.40390648110525285,12.091613877257636,1
MST,50,233.1331555970748,0.40390648110525285,13.51657779853737,1
Greedy,50,234.0123549433369,0.40390648110525285,13.95617747166847,1
2-Opt,50,232.0227709315513,0.40390648110525285,12.961385465775635,1
MST,50,236.99980178772645,0.40390648110525285,15.44990089386325,1
Greedy,50,233.12904678453853,0.40390648110525285,13.51452339226926,1
2-Opt,50,230.88397026184973,0.40390648110525285,12.39198513092487,1
MST,50,238.24162980337945,0.40390648110525285,16.070814901689744,1
Greedy,50,235.39635024924206,0.40390648110525285,14.64817512462099,1
2-Opt,50,232.52733643297844,0.40390648110525285,13.213668216489232,1
MST,50,240.16770127280608,0.40390648110525285,17.033850636403045,1
Greedy,50,235.94330251532952,0.40390648110525285,14.921651257664728,1
2-Opt,50,231.34669838496006,0.40390648110525285,12.623349192480019,1
MST,50,236.4593255174909,0.40390648110525285,15.179662758745428,1
Greedy,50,237.2467035133942,0.40390648110525285,15.573351756697084,1
2-Opt,50,231.04530656050466,0.40390648110525285,12.472653280252322,1
MST,50,235.7198029576538,0.40390648110525285,14.809901478826852,1
Greedy,50,233.53048975508617,0.40390648110525285,13.715244877543133,1
2-Opt,50,231.07008590135015,0.40390648110525285,12.485042950675101,1
MST,50,238.1390065481132,0.40390648110525285,16.019503274056635,1
Greedy,50,235.44866387863468,0.40390648110525285,14.674331939317256,1
2-Opt,50,229.09743955965305,0.40390648110525285,11.498719779826475,1
MST,50,234.39481195103582,0.40390648110525285,14.147405975517845,1
Greedy,50,237.4189344549799,0.40390648110525285,15.659467227489952,1
2-Opt,50,233.56967557437628,0.40390648110525285,13.73483778718813,1
MST,50,236.61745133040665,0.40390648110525285,15.25872566520334,1
Greedy,50,231.92075555297012,0.40390648110525285,12.910377776485033,1
2-Opt,50,230.14765929480367,0.40390648110525285,12.023829647401804,1
MST,50,235.84338364024356,0.40390648110525285,14.871691820121784,1
Greedy,100,447.96597320834087,0.9471620755868636,21.882986604170476,2
2-Opt,100,441.6741252051003,0.9471620755868636,18.737062602550175,2
MST,100,455.15605956942744,0.9471620755868636,25.478029784713737,2
Greedy,100,448.83284441734304,0.9471620755868636,22.316422208671426,2
2-Opt,100,440.0976092127335,0.9471620755868636,17.948804606366718,2
MST,100,452.5325884234483,0.9471620755868636,24.16629421172407,2
Greedy,100,448.5172631865037,0.9471620755868636,22.158631593251773,2
2-Opt,100,440.69744965590337,0.9471620755868636,18.248724827951673,2
MST,100,449.0345308050034,0.9471620755868636,22.41726540250167,2
Greedy,100,451.01170937675903,0.9471620755868636,23.405854688379613,2
2-Opt,100,438.5840559754419,0.9471620755868636,17.19202798772096,2
MST,100,447.16661559443827,0.9471620755868636,21.483307797219176,2
Greedy,100,443.57816077000604,0.9471620755868636,19.68908038500301,2
2-Opt,100,439.4250569316736,0.9471620755868636,17.61252846583678,2
MST,100,443.264940715155,0.9471620755868636,19.532470357577438,2
Greedy,100,444.58508749032643,0.9471620755868636,20.192543745163164,2
2-Opt,100,438.2421522166632,0.9471620755868636,17.021076108331584,2
MST,100,451.2132511022839,0.9471620755868636,23.5066255511419,2
Greedy,100,444.576202047847,0.9471620755868636,20.18810102392345,2
2-Opt,100,440.7518015527292,0.9471620755868636,18.275900776364676,2
MST,100,452.2108264176022,0.9471620755868636,24.005413208801087,2
Greedy,100,442.65612524058844,0.9471620755868636,19.228062620294214,2
2-Opt,100,439.9099811359846,0.9471620755868636,17.85499056799235,2
MST,100,452.40461132572125,0.9471620755868636,24.102305662860616,2
Greedy,100,448.76244099845997,0.9471620755868636,22.281220499229924,2
2-Opt,100,440.1998328462149,0.9471620755868636,17.99991642310737,2
MST,100,449.84821446773105,0.9471620755868636,22.824107233865526,2
Greedy,100,446.7449879347218,0.9471620755868636,21.272493967360994,2
2-Opt,100,441.5469634918819,0.9471620755868636,18.673481745940986,2
MST,100,448.1909146791361,0.9471620755868636,21.995457339568087,2
